Date,Price,Index
15/08/2013,181.17,S&P/FMDQ SBI
15/08/2013,"37,111.64",NGX ASI
16/08/2013,181.03,S&P/FMDQ SBI
16/08/2013,"36,986.94",NGX ASI
19/08/2013,180.85,S&P/FMDQ SBI
19/08/2013,"36,800.68",NGX ASI
20/08/2013,181.07,S&P/FMDQ SBI
20/08/2013,"36,558.80",NGX ASI
21/08/2013,181.03,S&P/FMDQ SBI
21/08/2013,"36,345.33",NGX ASI
22/08/2013,181.43,S&P/FMDQ SBI
22/08/2013,"36,563.89",NGX ASI
23/08/2013,181.28,S&P/FMDQ SBI
23/08/2013,"36,577.28",NGX ASI
26/08/2013,181.23,S&P/FMDQ SBI
26/08/2013,"36,526.69",NGX ASI
27/08/2013,181.21,S&P/FMDQ SBI
27/08/2013,"36,480.24",NGX ASI
28/08/2013,181.02,S&P/FMDQ SBI
28/08/2013,"36,299.27",NGX ASI
29/08/2013,181.29,S&P/FMDQ SBI
29/08/2013,"36,400.38",NGX ASI
30/08/2013,181.53,S&P/FMDQ SBI
30/08/2013,"36,248.53",NGX ASI
02/09/2013,181.42,S&P/FMDQ SBI
02/09/2013,"36,337.15",NGX ASI
03/09/2013,181.64,S&P/FMDQ SBI
03/09/2013,"36,230.83",NGX ASI
04/09/2013,181.27,S&P/FMDQ SBI
04/09/2013,"36,215.57",NGX ASI
05/09/2013,181.14,S&P/FMDQ SBI
05/09/2013,"36,476.30",NGX ASI
06/09/2013,181.26,S&P/FMDQ SBI
06/09/2013,"36,403.95",NGX ASI
09/09/2013,181.14,S&P/FMDQ SBI
09/09/2013,"36,367.59",NGX ASI
10/09/2013,181.61,S&P/FMDQ SBI
10/09/2013,"36,113.13",NGX ASI
11/09/2013,181.28,S&P/FMDQ SBI
11/09/2013,"36,259.66",NGX ASI
12/09/2013,181.33,S&P/FMDQ SBI
12/09/2013,"36,224.45",NGX ASI
13/09/2013,181.04,S&P/FMDQ SBI
13/09/2013,"36,098.07",NGX ASI
16/09/2013,181.1,S&P/FMDQ SBI
16/09/2013,"35,861.88",NGX ASI
17/09/2013,181.04,S&P/FMDQ SBI
17/09/2013,"35,851.38",NGX ASI
18/09/2013,181.3,S&P/FMDQ SBI
18/09/2013,"35,765.71",NGX ASI
19/09/2013,182.28,S&P/FMDQ SBI
19/09/2013,"35,891.91",NGX ASI
20/09/2013,182.17,S&P/FMDQ SBI
20/09/2013,"36,188.72",NGX ASI
23/09/2013,182.34,S&P/FMDQ SBI
23/09/2013,"36,088.64",NGX ASI
24/09/2013,184.89,S&P/FMDQ SBI
24/09/2013,"36,056.02",NGX ASI
25/09/2013,185.21,S&P/FMDQ SBI
25/09/2013,"36,142.44",NGX ASI
26/09/2013,184.98,S&P/FMDQ SBI
26/09/2013,"36,158.04",NGX ASI
27/09/2013,185.04,S&P/FMDQ SBI
27/09/2013,"36,436.98",NGX ASI
30/09/2013,184.14,S&P/FMDQ SBI
30/09/2013,"36,585.08",NGX ASI
01/10/2013,184.2,S&P/FMDQ SBI
02/10/2013,183.66,S&P/FMDQ SBI
02/10/2013,"36,908.06",NGX ASI
03/10/2013,183.37,S&P/FMDQ SBI
03/10/2013,"36,831.03",NGX ASI
04/10/2013,182.8,S&P/FMDQ SBI
04/10/2013,"36,925.82",NGX ASI
07/10/2013,184.61,S&P/FMDQ SBI
07/10/2013,"36,857.22",NGX ASI
08/10/2013,184.13,S&P/FMDQ SBI
08/10/2013,"36,904.52",NGX ASI
09/10/2013,184.2,S&P/FMDQ SBI
09/10/2013,"37,259.65",NGX ASI
10/10/2013,184.71,S&P/FMDQ SBI
10/10/2013,"36,962.63",NGX ASI
11/10/2013,184.86,S&P/FMDQ SBI
11/10/2013,"36,991.62",NGX ASI
14/10/2013,185.03,S&P/FMDQ SBI
14/10/2013,"37,051.14",NGX ASI
15/10/2013,185.1,S&P/FMDQ SBI
16/10/2013,185.17,S&P/FMDQ SBI
17/10/2013,185.26,S&P/FMDQ SBI
17/10/2013,"37,257.35",NGX ASI
18/10/2013,186.48,S&P/FMDQ SBI
21/10/2013,187.07,S&P/FMDQ SBI
21/10/2013,"37,263.16",NGX ASI
22/10/2013,187.13,S&P/FMDQ SBI
22/10/2013,"37,368.10",NGX ASI
23/10/2013,187.2,S&P/FMDQ SBI
23/10/2013,"37,408.56",NGX ASI
24/10/2013,187.82,S&P/FMDQ SBI
24/10/2013,"37,611.65",NGX ASI
25/10/2013,187.89,S&P/FMDQ SBI
25/10/2013,"37,461.94",NGX ASI
28/10/2013,188.08,S&P/FMDQ SBI
28/10/2013,"37,278.34",NGX ASI
29/10/2013,189.21,S&P/FMDQ SBI
29/10/2013,"37,514.55",NGX ASI
30/10/2013,190.51,S&P/FMDQ SBI
30/10/2013,"37,373.09",NGX ASI
31/10/2013,190.92,S&P/FMDQ SBI
31/10/2013,"37,622.74",NGX ASI
01/11/2013,190.76,S&P/FMDQ SBI
01/11/2013,"37,765.82",NGX ASI
04/11/2013,190.32,S&P/FMDQ SBI
04/11/2013,"37,937.61",NGX ASI
05/11/2013,190.49,S&P/FMDQ SBI
05/11/2013,"38,054.23",NGX ASI
06/11/2013,190.39,S&P/FMDQ SBI
06/11/2013,"38,125.18",NGX ASI
